ID,originalMoleculeSMILES,deglycosylatedMoleculeSMILES,hadOrHasSugars,SugarMoietySMILES
TPCN01507,CC1(C)CCC2(C)CCC3C(C)(CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1,CC1(C)CCC2(C)CCC3C(C)(CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1,false,[]
TPCN01508,CC1C(=O)OC2C1C(O)CC1(C)C(O)CCC(C=O)C21,CC1C(=O)OC2C1C(O)CC1(C)C(O)CCC(C=O)C21,false,[]
TPCN01509,CC(=O)C=C=C1C(C)(C)CC(OC2OC(CO)C(O)C(O)C2O)CC1(C)O,CC(=O)C=C=C1C(C)(C)CC(O)CC1(C)O,true,['O1[CH][CH][CH][CH][CH]1']
TPCN01510,CC1=C2CC3C(C)(CC2OC1=O)C1CC1C3(O)COC1OC(CO)C(O)C(O)C1O,CC1=C2CC3C(C)(CC2OC1=O)C1CC1C3(O)CO,true,['O1[CH][CH][CH][CH][CH]1']
TPCN01511,C=C1C(=O)OC2C3=C(C)C(=O)CC(O)C3(C)CC(OC(=O)C(C)(O)C(C)OC(C)=O)C12,C=C1C(=O)OC2C3=C(C)C(=O)CC(O)C3(C)CC(OC(=O)C(C)(O)C(C)OC(C)=O)C12,false,[]
TPCN01512,COCC1(O)C2CC3(C(C)CCC3(O)C1(C)COC(=O)c1ccccc1)C(O)C(=O)O2,COCC1(O)C2CC3(C(C)CCC3(O)C1(C)COC(=O)c1ccccc1)C(O)C(=O)O2,false,[]
TPCN01513,C=C1CCC2C(OC(=O)C2(O)CO)C2C(=C)CCC12,C=C1CCC2C(OC(=O)C2(O)CO)C2C(=C)CCC12,false,[]
TPCN01514,CC1=C2OCC(C)(O)c3ccc(C)c(c32)C(=O)C1=O,CC1=C2OCC(C)(O)c3ccc(C)c(c32)C(=O)C1=O,false,[]
TPCN01515,CC1CC(OC(=O)C(C)(O)CCl)C2=C(CO)C(=O)OC2=CC2(C)CCC1(O)O2,CC1CC(OC(=O)C(C)(O)CCl)C2=C(CO)C(=O)OC2=CC2(C)CCC1(O)O2,false,[]
TPCN01516,C=C(C)C1CC2C(C)(CCC(OC3OC(CO)C(O)C(O)C3O)C2(C)O)CC1O,C=C(C)C1CC2C(C)(CCC(O)C2(C)O)CC1O,true,['O1[CH][CH][CH][CH][CH]1']
TPCN01517,C=C(C(=O)O)C1CCC2(C)CCCC(C)(O)C2C1,C=C(C(=O)O)C1CCC2(C)CCCC(C)(O)C2C1,false,[]
TPCN01518,CC1=CCC(OC2OC(CO)C(O)C(O)C2O)C2(C)CCC3C(OC(=O)C3(C)O)C12,CC1=CCC(O)C2(C)CCC3C(OC(=O)C3(C)O)C12,true,['O1[CH][CH][CH][CH][CH]1']
TPCN01519,C=C1CC2OC(=O)C(=C)C2C(O)C=C(C)CCC1O,C=C1CC2OC(=O)C(=C)C2C(O)C=C(C)CCC1O,false,[]
TPCN01520,CC=C(C)C(=O)OC1CC(C)(O)C2CC=C(C)C2C2OC(=O)C(C)C12,CC=C(C)C(=O)OC1CC(C)(O)C2CC=C(C)C2C2OC(=O)C(C)C12,false,[]
TPCN01521,C=C1CCC2C(C)(C)C(O)CCC2(C)C1Cc1ccc2ccc(=O)oc2c1,C=C1CCC2C(C)(C)C(O)CCC2(C)C1Cc1ccc2ccc(=O)oc2c1,false,[]
TPCN01522,CC1CCC2(C)C(C)C(O)CCC2C1(C)COc1ccc2ccc(=O)oc2c1,CC1CCC2(C)C(C)C(O)CCC2C1(C)COc1ccc2ccc(=O)oc2c1,false,[]
TPCN01523,CC(=O)OC1CCC(C)C23OC(C)(C)C(CC(OCc4ccccc4)C12C)C3OC(=O)C=Cc1ccccc1,CC(=O)OC1CCC(C)C23OC(C)(C)C(CC(OCc4ccccc4)C12C)C3OC(=O)C=Cc1ccccc1,false,[]
TPCN01524,C=C(C(=O)O)C1CCC2(C)C(=C(C)CCC2OC2OC(CO)C(O)C(O)C2O)C1,C=C(C(=O)O)C1CCC2(C)C(=C(C)CCC2O)C1,true,['O1[CH][CH][CH][CH][CH]1']
TPCN01525,CC(=O)OCC12C(OC(C)=O)CCC(C)(O)C13OC(C)(C)C(C(OC(C)=O)C2OC(=O)c1ccccc1)C3OC(C)=O,CC(=O)OCC12C(OC(C)=O)CCC(C)(O)C13OC(C)(C)C(C(OC(C)=O)C2OC(=O)c1ccccc1)C3OC(C)=O,false,[]
TPCN01526,C=C1CCC2C(C3C1CCC3(C)O)C2(C)C,C=C1CCC2C(C3C1CCC3(C)O)C2(C)C,false,[]
TPCN01527,C=C1CCC2C(C)(C)C(O)CCC2(C)C1COC1OC(CO)C(O)C(O)C1O,C=C1CCC2C(C)(C)C(O)CCC2(C)C1CO,true,['O1[CH][CH][CH][CH][CH]1']
TPCN01528,C=C1C(=O)OC2C1CCC1(C)OC13C=CC(=O)OC23C,C=C1C(=O)OC2C1CCC1(C)OC13C=CC(=O)OC23C,false,[]
TPCN01529,CC1=C2CC=C(COC3OC(CO)C(O)C(O)C3O)C2C2OC(=O)C(C)C2CC1O,CC1=C2CC=C(CO)C2C2OC(=O)C(C)C2CC1O,true,['O1[CH][CH][CH][CH][CH]1']
TPCN01530,COC1(C)CCC(C(C)C)C2C=C(C)C(=O)CC21,COC1(C)CCC(C(C)C)C2C=C(C)C(=O)CC21,false,[]
TPCN01531,COc1cc2cc(-c3cc4cc(OC)c(O)cc4oc3=O)c(=O)oc2cc1O,COc1cc2cc(-c3cc4cc(OC)c(O)cc4oc3=O)c(=O)oc2cc1O,false,[]
TPCN01532,C=C(C(=O)O)C1CCC2(C)CC(O)CC(=C)C2C1,C=C(C(=O)O)C1CCC2(C)CC(O)CC(=C)C2C1,false,[]
TPCN01533,C=C1C(=O)OC2CC(C)C(O)(C=CC(C)=O)C(Cl)CC12,C=C1C(=O)OC2CC(C)C(O)(C=CC(C)=O)C(Cl)CC12,false,[]
TPCN01534,C=C(CC1CC(C)C(=O)O1)C(O)CC1COC(=O)C1=C,C=C(CC1CC(C)C(=O)O1)C(O)CC1COC(=O)C1=C,false,[]
TPCN01535,CC1=C2CC3C(CO)C4CC4C3(C)C=C2OC1=O,CC1=C2CC3C(CO)C4CC4C3(C)C=C2OC1=O,false,[]
TPCN01536,C=CC1(C)CC2OC(=O)C(C)=C2CC1C(=C)COC1OC(COC2OCC(O)(CO)C2O)C(O)C(O)C1O,C=CC1(C)CC2OC(=O)C(C)=C2CC1C(=C)CO,true,"['[C]1[CH][CH]OC1', 'O1[CH][CH][CH][CH][CH]1']"
TPCN01537,C=C1C=CC(OC2OC(CO)C(O)C(O)C2O)C2(C)CC3OC(=O)C(C)=C3CC12,C=C1C=CC(O)C2(C)CC3OC(=O)C(C)=C3CC12,true,['O1[CH][CH][CH][CH][CH]1']
TPCN01538,CCOCC1=C2C(=CC3(C)CCC(O)(O3)C(C)(O)CC2OC(C)=O)OC1=O,CCOCC1=C2C(=CC3(C)CCC(O)(O3)C(C)(O)CC2OC(C)=O)OC1=O,false,[]
TPCN01539,CC1CCC2(O)C13CC(OC(=O)C3O)C1(O)C(=O)OCC12C,CC1CCC2(O)C13CC(OC(=O)C3O)C1(O)C(=O)OCC12C,false,[]
TPCN01540,C=C1CCC2C1C1OC(=O)C(C)C1CCC2(O)CO,C=C1CCC2C1C1OC(=O)C(C)C1CCC2(O)CO,false,[]
TPCN01541,C=C1C(=O)OC2CC(C)C=CC(=O)C(C)(O)C(OC(C)=O)C(OC(=O)C(C)CC)C12,C=C1C(=O)OC2CC(C)C=CC(=O)C(C)(O)C(OC(C)=O)C(OC(=O)C(C)CC)C12,false,[]
TPCN01542,C=C1C(=O)OC2C=C(C)C3=CC(=O)C(C)(O3)C(O)C(OC(=O)CC(C)C)C12,C=C1C(=O)OC2C=C(C)C3=CC(=O)C(C)(O3)C(O)C(OC(=O)CC(C)C)C12,false,[]
TPCN01543,C=C(C)C(=O)OC1CC23OC2CCC(=CC2OC(=O)C(=C)C21)COC3OC,C=C(C)C(=O)OC1CC23OC2CCC(=CC2OC(=O)C(=C)C21)COC3OC,false,[]
